status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10158195704861509,"After almost two months, the US State Department approved a visa for an Iranian man to come to the US in order to have bone marrow transplant surgery to help his brother, who has cancer.",Iranian's visa approved to give brother bone marrow transplant in US,link,https://cnn.it/2J6hEhj,https://www.facebook.com/cnn/posts/10158195704861509,2018-03-30 20:30:02,756,59,54,643,74,9,0,29,1
5550296508_10158195677176509,Government lawyers had argued that President Donald J. Trump's administration did not have to allow access to abortion to the unaccompanied teens.,Court rules against Trump administration's policy on pregnant undocumented teens,link,https://cnn.it/2pRWhre,https://www.facebook.com/cnn/posts/10158195677176509,2018-03-30 20:16:12,1382,160,147,1112,160,17,16,2,75
5550296508_10158195631331509,"He wants to be governor of Vermont. Not when he grows up, but now.",He's 13 and he's running to be the next governor of Vermont,link,https://cnn.it/2pTrmLd,https://www.facebook.com/cnn/posts/10158195631331509,2018-03-30 20:01:04,8388,829,1165,6248,560,300,1246,9,25
5550296508_10158195558016509,"The move to issue a proclamation observing the month was first started by President Barack Obama in 2010, and the tradition has carried over into the Trump administration.",Trump declares April National Sexual Assault Awareness Month,link,https://cnn.it/2pXbzey,https://www.facebook.com/cnn/posts/10158195558016509,2018-03-30 19:31:04,11692,3453,4262,3282,112,986,6872,83,357
5550296508_10158195524566509,"The already embattled EPA Administrator Scott Pruitt, now finds himself at the center of an expanding controversy over his decision to rent a room in Washington, DC, from the family of an energy lobbyist",White House frustrated with EPA's Pruitt for apartment controversy,link,https://cnn.it/2pRCDf9,https://www.facebook.com/cnn/posts/10158195524566509,2018-03-30 19:15:07,2020,416,324,843,15,116,359,28,659
5550296508_10158195489366509,This woman in Texas was sentenced to a five-year prison term for voting illegally in the 2016 presidential election,Texas woman sentenced to five years in prison for illegally voting in 2016 election,link,https://cnn.it/2J8j8HW,https://www.facebook.com/cnn/posts/10158195489366509,2018-03-30 19:01:03,4349,762,377,2105,142,609,184,141,1168
5550296508_10158195410871509,"We're in Baton Rouge where the attorneys for the family of Alton Sterling are speaking following the police press conference where authorities announced the firing of Officer Blane Salamoni
https://cnn.it/2pSd9iu",,video,https://www.facebook.com/cnn/videos/10158195410871509/,https://www.facebook.com/cnn/videos/10158195410871509/,2018-03-30 18:30:28,1675,898,767,1121,169,36,16,149,184
5550296508_10158195410906509,"""This was Steve Bannon's baby,"" said former Cambridge Analytica contractor Christopher Wylie, who described the Trump campaign-linked data firm as ""Bannon's arsenal of weaponry to wage a culture war on America using military strategies.""",How Steve Bannon used Cambridge Analytica to further his alt-right vision for America,link,https://cnn.it/2J7jwWZ,https://www.facebook.com/cnn/posts/10158195410906509,2018-03-30 18:30:14,1448,286,449,452,6,108,43,30,809
5550296508_10158195347491509,A group of Howard University students say they've taken control of the school's administration building and won't leave until their demands are met -- including the university president's resignation,Protesting Howard University students take over administration building,link,https://cnn.it/2GogFLF,https://www.facebook.com/cnn/posts/10158195347491509,2018-03-30 18:00:25,2522,250,376,1900,188,315,76,11,32
5550296508_10158195313896509,This man spent more years behind bars than any other wrongfully imprisoned person in America https://cnn.it/2J6gCC1,This man spent more years behind bars than any other wrongfully imprisoned person in America,video,https://www.facebook.com/cnn/videos/10158195313896509/,https://www.facebook.com/cnn/videos/10158195313896509/,2018-03-30 17:46:02,3542,515,1210,1456,58,368,5,1466,189
